epoch,train_mse,train_pearson,train_loss,val_mse,val_pearson,minutes
0,0.052017816971778985,0.45525793711777823,0.052017816971778985,,,0.36
1,0.027657785864199126,0.5523769919156611,0.027657785864199126,,,0.71
2,0.025597900627233872,0.5670782591728962,0.025597900627233872,,,1.05
3,0.024424184682633635,0.5768343302806913,0.024424184682633635,,,1.39
4,0.02365986525093722,0.5825475472704417,0.02365986525093722,,,1.73
5,0.023123649897597076,0.5863399034668172,0.023123649897597076,,,2.08
6,0.022615105204062663,0.5908730112547221,0.022615105204062663,,,2.43
7,0.022195715470639414,0.5956981771303463,0.022195715470639414,,,2.77
8,0.02177648892696209,0.5987349606636678,0.02177648892696209,,,3.11
9,0.02144319373706236,0.6026547285123428,0.02144319373706236,,,3.45
10,0.021004211549921215,0.6070582309715812,0.021004211549921215,,,3.8
11,0.020468486400987345,0.6124689700786443,0.020468486400987345,,,4.14
12,0.02007368330651944,0.6176737366504006,0.02007368330651944,,,4.49
13,0.019760695097753782,0.619755522524315,0.019760695097753782,,,4.83
14,0.019486097808296913,0.6220721091161298,0.019486097808296913,,,5.18
15,0.019247995615192817,0.6246927396134095,0.019247995615192817,,,5.53
16,0.01900602840021526,0.6282051182960807,0.01900602840021526,,,5.87
17,0.01885112943302858,0.630152620717225,0.01885112943302858,,,6.22
18,0.01867903816681901,0.6327172896788534,0.01867903816681901,,,6.56
19,0.01856093881484797,0.633574663439483,0.01856093881484797,,,6.91
