epoch,train_mse,train_pearson,train_loss,val_mse,val_pearson,minutes
0,0.05017290395046419,0.40670763811945204,0.05017290395046419,,,0.51
1,0.02822351586651896,0.5334022321852733,0.02822351586651896,,,1.01
2,0.02579116861685739,0.5592325183179736,0.02579116861685739,,,1.51
3,0.024775231957914503,0.5685304372486298,0.024775231957914503,,,2.01
4,0.02431077944199507,0.5726576973881636,0.02431077944199507,,,2.51
5,0.023911977519501516,0.5766066163257058,0.023911977519501516,,,3.01
6,0.0237104503853653,0.5798376976440294,0.0237104503853653,,,3.51
7,0.023456023517339625,0.5821963418543886,0.023456023517339625,,,4.01
8,0.023249178223033358,0.5845291967091208,0.023249178223033358,,,4.51
9,0.023070689672534974,0.587029588159954,0.023070689672534974,,,5.02
10,0.022935891399957373,0.5886634193266329,0.022935891399957373,,,5.53
11,0.022744939216401607,0.5899977206167405,0.022744939216401607,,,6.04
12,0.022647825294106246,0.5908182606550612,0.022647825294106246,,,6.54
13,0.022544752196606312,0.591909400307564,0.022544752196606312,,,7.05
14,0.02239946868603745,0.5940950453919931,0.02239946868603745,,,7.56
15,0.022287888066769037,0.5944940562416593,0.022287888066769037,,,8.07
16,0.022198051660129035,0.5954541146077597,0.022198051660129035,,,8.57
17,0.022100189875218418,0.5962931462443443,0.022100189875218418,,,9.06
18,0.02204769073647928,0.5966545929802418,0.02204769073647928,,,9.56
19,0.02193487295432967,0.5982527678183296,0.02193487295432967,,,10.05
