epoch,train_mse,train_pearson,train_loss,val_mse,val_pearson,minutes
0,0.03710075627864189,0.5284947213907895,0.03710075627864189,,,1.12
1,0.023072775230577252,0.5886831441051219,0.023072775230577252,,,2.24
2,0.020995518819367488,0.6064892294537724,0.020995518819367488,,,3.34
3,0.019832008876636213,0.6172784557757443,0.019832008876636213,,,4.45
4,0.019035395327772233,0.6279716373766986,0.019035395327772233,,,5.56
5,0.01837258626066334,0.6340973444077768,0.01837258626066334,,,6.67
6,0.017836202923729724,0.6400224659567479,0.017836202923729724,,,7.78
7,0.017354071374850656,0.6438916797689022,0.017354071374850656,,,8.89
8,0.016883023996105653,0.6496367228242264,0.016883023996105653,,,10.0
9,0.016470537781772404,0.6534963443933953,0.016470537781772404,,,11.11
10,0.016077776301846033,0.6579854651197472,0.016077776301846033,,,12.24
11,0.015775659278456235,0.6608776863441229,0.015775659278456235,,,13.35
12,0.015458541385447472,0.6632467174066119,0.015458541385447472,,,14.47
13,0.015223139822161355,0.6661456616218298,0.015223139822161355,,,15.57
14,0.0149491627938446,0.6683434086383875,0.0149491627938446,,,16.68
15,0.014722024046098809,0.6711368902468713,0.014722024046098809,,,17.79
16,0.014477247423885344,0.6736586274579982,0.014477247423885344,,,18.9
17,0.01427296257997685,0.67513057095649,0.01427296257997685,,,20.0
18,0.014023065582287523,0.6784904462688085,0.014023065582287523,,,21.11
19,0.01379571188859003,0.6797964321991008,0.01379571188859003,,,22.22
