run_id,timestamp,git_commit,device,experiment,model,loss,alpha,corr_threshold,seed,fold,val_users,n_params,n_train_windows,epochs,train_mse,train_pearson,train_loss,minutes_train,resumed,score_macro,score_micro,score_std,n_sessions,n_negative,minutes_score,test_ghij_macro
lstm_mse_corr0.9_seed0,2026-09-04 15:46,490027e,,tn1_ghij,lstm,mse,1.0,0.9,0,,,1502713,292708,20,0.01379571188859003,0.6797964321991008,0.01379571188859003,22.22,0,0.799989439252651,0.7942113439357797,,537,26,9.7,
lstm_mse_corr0.9_seed1,2026-09-04 16:18,490027e,,tn1_ghij,lstm,mse,1.0,0.9,1,,,1502713,292708,20,0.013713242495994466,0.6815777694391902,0.013713242495994466,22.27,0,0.8029091326817184,0.7976827942533619,,537,21,9.81,
lstm_mse_corr0.9_seed2,2026-09-04 16:50,490027e,,tn1_ghij,lstm,mse,1.0,0.9,2,,,1502713,292708,20,0.014011717803070136,0.6772696323331183,0.014011717803070136,22.19,0,0.8280070963788093,0.8240325007774568,,537,17,9.69,
lstm_h67_mse_corr0.9_seed0,,8f1fb93,,tn1_ghij,lstm,mse,1.0,0.9,0,,,56908,292708,20,0.01849052918373245,0.6364313524247363,0.01849052918373245,6.83,0,0.8045255436852081,0.8000942536521258,,537,22,7.58,
lstm_h67_mse_corr0.9_seed1,,8f1fb93,,tn1_ghij,lstm,mse,1.0,0.9,1,,,56908,292708,20,0.01856093881484797,0.633574663439483,0.01856093881484797,6.91,0,0.8007298562952004,0.7951529367517934,,537,24,7.57,
lstm_h67_mse_corr0.9_seed2,,8f1fb93,,tn1_ghij,lstm,mse,1.0,0.9,2,,,56908,292708,20,0.019426896835049792,0.6262845562491607,0.019426896835049792,6.91,0,0.7997924458254592,0.7943445246263637,,537,21,7.61,
