epoch,train_mse,train_pearson,train_loss,val_mse,val_pearson,minutes
0,0.03756994793922928,0.5236663325118295,0.03756994793922928,,,1.12
1,0.023553049102243137,0.5835991352992023,0.023553049102243137,,,2.24
2,0.021065068015829542,0.6091842002023189,0.021065068015829542,,,3.36
3,0.019851092144905557,0.62093214643773,0.019851092144905557,,,4.48
4,0.018992244479766465,0.6291918537673545,0.018992244479766465,,,5.6
5,0.018316048934728324,0.6373813811560932,0.018316048934728324,,,6.73
6,0.01777233952610779,0.6417081947012869,0.01777233952610779,,,7.85
7,0.017227241663249217,0.6458780582575596,0.017227241663249217,,,8.96
8,0.01676135202008493,0.6505931777937422,0.01676135202008493,,,10.06
9,0.016327858908011514,0.6549038308765047,0.016327858908011514,,,11.17
10,0.0159921805856071,0.6586208588622469,0.0159921805856071,,,12.28
11,0.015671136184193593,0.6615014871591348,0.015671136184193593,,,13.39
12,0.015373277823450097,0.6652235544217847,0.015373277823450097,,,14.5
13,0.015092954374414066,0.6674696750642433,0.015092954374414066,,,15.61
14,0.01484960552712615,0.6708469981898582,0.01484960552712615,,,16.72
15,0.014613364163458764,0.6728005799524743,0.014613364163458764,,,17.83
16,0.014376187775138265,0.674711479094803,0.014376187775138265,,,18.94
17,0.014153428230443615,0.6768129409649615,0.014153428230443615,,,20.05
18,0.013911259426989042,0.6794420480597838,0.013911259426989042,,,21.16
19,0.013713242495994466,0.6815777694391902,0.013713242495994466,,,22.27
