epoch,train_mse,train_pearson,train_loss,val_mse,val_pearson,minutes
0,0.037883731025296775,0.46966702892252815,0.037883731025296775,,,0.81
1,0.02124643140070541,0.5704383494997838,0.02124643140070541,,,1.62
2,0.019842009888175968,0.5948992181238671,0.019842009888175968,,,2.43
3,0.019071228722388117,0.6068876888366782,0.019071228722388117,,,3.23
4,0.01857771319498043,0.6146989732615855,0.01857771319498043,,,4.04
5,0.018161945856083876,0.6207225161071527,0.018161945856083876,,,4.84
6,0.0178244377360779,0.6253771798470993,0.0178244377360779,,,5.65
7,0.01754696550402362,0.628667315894149,0.01754696550402362,,,6.45
8,0.017299859426593123,0.6318457555669231,0.017299859426593123,,,7.27
9,0.0170503428289736,0.6349555296203586,0.0170503428289736,,,8.09
10,0.0168363083593562,0.6376443490757397,0.0168363083593562,,,8.9
11,0.016640577085457083,0.6396700061131212,0.016640577085457083,,,9.71
12,0.016465468246552477,0.641997200298841,0.016465468246552477,,,10.52
13,0.01626684761532449,0.6434616523118429,0.01626684761532449,,,11.33
14,0.016088206615118995,0.6457079625515423,0.016088206615118995,,,12.14
15,0.01593571950575222,0.6471920946395496,0.01593571950575222,,,12.95
16,0.01576022825274693,0.6490596650753888,0.01576022825274693,,,13.76
17,0.015580035449739888,0.6506712146666981,0.015580035449739888,,,14.57
18,0.015439133783073457,0.6520529782662602,0.015439133783073457,,,15.38
19,0.015315772371613398,0.6533240815881146,0.015315772371613398,,,16.18
