epoch,train_mse,train_pearson,train_loss,val_mse,val_pearson,minutes
0,0.05576362283403566,0.3877853945805864,0.05576362283403566,,,0.52
1,0.027554249399307843,0.5265560445824095,0.027554249399307843,,,1.03
2,0.0253384910971024,0.5554493155003011,0.0253384910971024,,,1.54
3,0.02452173609136688,0.5662646268099012,0.02452173609136688,,,2.05
4,0.023999597147313995,0.5722086857865876,0.023999597147313995,,,2.56
5,0.023663268460813548,0.5772654877891695,0.023663268460813548,,,3.07
6,0.02346540774676051,0.5807977726379231,0.02346540774676051,,,3.58
7,0.023221241550094106,0.5839441333293498,0.023221241550094106,,,4.08
8,0.0230226811220292,0.5865160744811543,0.0230226811220292,,,4.59
9,0.02292626077453001,0.5877739195160121,0.02292626077453001,,,5.1
10,0.022714593984670434,0.5907571970126386,0.022714593984670434,,,5.6
11,0.022594133348199714,0.5921149330533745,0.022594133348199714,,,6.11
12,0.022445780500789162,0.594436149417077,0.022445780500789162,,,6.62
13,0.02233905776737361,0.5947954349372916,0.02233905776737361,,,7.13
14,0.022238433925873935,0.5967488783021968,0.022238433925873935,,,7.63
15,0.02212855868875511,0.5976240750765457,0.02212855868875511,,,8.14
16,0.022033211369121185,0.5980421546561571,0.022033211369121185,,,8.65
17,0.021962112966423204,0.5996930817745636,0.021962112966423204,,,9.15
18,0.021920134451250073,0.6000813518906974,0.021920134451250073,,,9.66
19,0.02175656356431371,0.6015571970044654,0.02175656356431371,,,10.16
