run_id,timestamp,git_commit,device,experiment,model,revin,loss,alpha,corr_threshold,seed,fold,val_users,n_params,n_train_windows,epochs,train_mse,train_pearson,train_loss,minutes_train,resumed,score_macro,score_micro,score_std,n_sessions,n_negative,minutes_score,test_ghij_macro
ds_tcn_c64_revin_mse_corr0.9_seed0_tong,,2b3d193,Tesla T4,tn2,ds_tcn,1,mse,1.0,0.9,0,TONG,ABCDEFKL,56281,,20,,,,,,0.7237759965799333,,0.09552447358308104,4,,,
ds_tcn_c64_revin_mse_corr0.9_seed0_val_AB,,2b3d193,Tesla T4,tn2,ds_tcn,1,mse,1.0,0.9,0,val_AB,AB,56281,210964,20,0.014214047234876024,0.6286236791853692,0.014214047234876024,12.4,0,0.7931020298387748,0.7951841212151082,,380,11,,
ds_tcn_c64_revin_mse_corr0.9_seed0_val_CE,,2b3d193,Tesla T4,tn2,ds_tcn,1,mse,1.0,0.9,0,val_CE,CE,56281,218920,20,0.015121760524676509,0.6344073924168757,0.015121760524676509,12.89,0,0.7795472636993902,0.7704557881916207,,337,13,,
ds_tcn_c64_revin_mse_corr0.9_seed0_val_DF,,2b3d193,Tesla T4,tn2,ds_tcn,1,mse,1.0,0.9,0,val_DF,DF,56281,230152,20,0.016498948786845796,0.6908563412425582,0.016498948786845796,13.47,0,0.5593487426292139,0.5121168781986175,,308,54,,
ds_tcn_c64_revin_mse_corr0.9_seed0_val_KL,,2b3d193,Tesla T4,tn2,ds_tcn,1,mse,1.0,0.9,0,val_KL,KL,56281,218088,20,0.01507397283807598,0.626294783320925,0.01507397283807598,12.68,0,0.7631059501523545,0.7777709781588039,,264,15,,
ds_tcn_c64_revin_mse_corr0.9_seed1_tong,,2b3d193,Tesla T4,tn2,ds_tcn,1,mse,1.0,0.9,1,TONG,ABCDEFKL,56281,,20,,,,,,0.737823183750581,,0.0914154124029977,4,,,
ds_tcn_c64_revin_mse_corr0.9_seed1_val_AB,,2b3d193,Tesla T4,tn2,ds_tcn,1,mse,1.0,0.9,1,val_AB,AB,56281,210964,20,0.014334060386312499,0.6265913080203739,0.014334060386312499,12.43,0,0.8016588914254968,0.8025359942955611,,380,7,,
ds_tcn_c64_revin_mse_corr0.9_seed1_val_CE,,2b3d193,Tesla T4,tn2,ds_tcn,1,mse,1.0,0.9,1,val_CE,CE,56281,218920,20,0.015317505409707497,0.6320343665632718,0.015317505409707497,13.02,0,0.8008209667292594,0.7878519422017367,,337,14,,
ds_tcn_c64_revin_mse_corr0.9_seed1_val_DF,,2b3d193,Tesla T4,tn2,ds_tcn,1,mse,1.0,0.9,1,val_DF,DF,56281,230152,20,0.016726872203304582,0.6905207896037071,0.016726872203304582,13.22,0,0.581293536286199,0.5434872454996543,,308,43,,
ds_tcn_c64_revin_mse_corr0.9_seed1_val_KL,,2b3d193,Tesla T4,tn2,ds_tcn,1,mse,1.0,0.9,1,val_KL,KL,56281,218088,20,0.015325441059083657,0.6231288615736603,0.015325441059083657,12.58,0,0.7675193405613685,0.7804288778564824,,264,13,,
ds_tcn_c64_revin_mse_corr0.9_seed2_tong,,2b3d193,Tesla T4,tn2,ds_tcn,1,mse,1.0,0.9,2,TONG,ABCDEFKL,56281,,20,,,,,,0.7275470605396306,,0.0909041590475275,4,,,
ds_tcn_c64_revin_mse_corr0.9_seed2_val_AB,,2b3d193,Tesla T4,tn2,ds_tcn,1,mse,1.0,0.9,2,val_AB,AB,56281,210964,20,0.014305808642850316,0.628386476029401,0.014305808642850316,11.74,0,0.7895713793682625,0.792322897602084,,380,11,,
ds_tcn_c64_revin_mse_corr0.9_seed2_val_CE,,2b3d193,Tesla T4,tn2,ds_tcn,1,mse,1.0,0.9,2,val_CE,CE,56281,218920,20,0.015199123976631833,0.6338856953150764,0.015199123976631833,12.25,0,0.789763114195315,0.7799885168395382,,337,13,,
ds_tcn_c64_revin_mse_corr0.9_seed2_val_DF,,2b3d193,Tesla T4,tn2,ds_tcn,1,mse,1.0,0.9,2,val_DF,DF,56281,230152,20,0.016428946542522794,0.6918327970358276,0.016428946542522794,12.84,0,0.5715690669706734,0.534854059441786,,308,50,,
ds_tcn_c64_revin_mse_corr0.9_seed2_val_KL,,2b3d193,Tesla T4,tn2,ds_tcn,1,mse,1.0,0.9,2,val_KL,KL,56281,218088,20,0.015184886000138826,0.6255286450152386,0.015184886000138826,12.23,0,0.759284681624272,0.7742654167872747,,264,16,,
