epoch,train_mse,train_pearson,train_loss,val_mse,val_pearson,minutes
0,0.5433804070944342,0.5177193530810777,0.48228064696758555,,,0.57
1,0.5691933716534526,0.5617982701646432,0.4382017300308246,,,1.12
2,0.5496378094153369,0.5746208206503267,0.4253791793366421,,,1.68
3,0.5355940833459737,0.5825403324174839,0.4174596674978134,,,2.24
4,0.5404283121117452,0.5873477000321266,0.4126523000134825,,,2.79
5,0.544387678177168,0.5915085548428296,0.4084914452027795,,,3.34
6,0.5481335395319158,0.5953438246112022,0.4046561753953134,,,3.9
7,0.55000871391238,0.598534182561085,0.4014658174454306,,,4.45
8,0.5518747806992133,0.6016638923157862,0.39833610774285416,,,5.0
9,0.5547304566270356,0.6044234007948812,0.3955765992702748,,,5.56
10,0.5560232069641416,0.6066419195414736,0.39335808049761994,,,6.11
11,0.5573174665276015,0.6085425672387264,0.3914574326961177,,,6.67
12,0.5543116613681732,0.6115292184703153,0.38847078155574705,,,7.22
13,0.5452279032814383,0.6140437390041185,0.3859562610219439,,,7.77
14,0.5527668354432552,0.6152034039626645,0.3847965960503667,,,8.33
15,0.5518797266141889,0.6174139620359151,0.38258603787286655,,,8.88
16,0.5605265340940057,0.6187675373557878,0.38123246262466537,,,9.44
17,0.5657124910348881,0.620485755264316,0.37951424476826195,,,10.0
18,0.5640048797429259,0.6219618484332252,0.37803815161238397,,,10.55
19,0.5717973427502516,0.6222493935801549,0.3777506064002984,,,11.11
