epoch,train_mse,train_pearson,train_loss,val_mse,val_pearson,minutes
0,0.6794770689681987,0.5162920696575054,0.48370793039589194,,,0.56
1,0.7187428283063303,0.5622038508365912,0.4377961492481115,,,1.12
2,0.6662354545531755,0.5733450373278782,0.426654962509232,,,1.67
3,0.6372303101867373,0.5804907655580418,0.4195092344158958,,,2.23
4,0.6018368188189167,0.5861310449408088,0.4138689550005509,,,2.78
5,0.5936068759104755,0.5903444588575292,0.4096555411164084,,,3.33
6,0.583828580786059,0.5936513578052546,0.40634864218171424,,,3.88
7,0.5887255781685675,0.5975292164019533,0.4024707835654687,,,4.43
8,0.5940152107952565,0.6008624523213507,0.39913754773077403,,,4.98
9,0.593536017233751,0.6038144062479667,0.3961855937259709,,,5.53
10,0.585936399405577,0.6065888194327381,0.39341118058680863,,,6.07
11,0.578050871792192,0.6095512443017271,0.3904487556722105,,,6.63
12,0.5764332894459009,0.6120962904473815,0.3879037095591341,,,7.18
13,0.5725725034555599,0.6144818748299816,0.38551812518304956,,,7.72
14,0.5763991603071532,0.6163350862410583,0.3836649138436445,,,8.27
15,0.584820238585862,0.6185727916498293,0.3814272083827487,,,8.82
16,0.5894777737541599,0.6198729435246638,0.3801270565795857,,,9.38
17,0.6022636269084428,0.6211692210715256,0.37883077890892763,,,9.93
18,0.6038718299869371,0.6226209173973439,0.3773790826222028,,,10.48
19,0.6263173300663769,0.623680218174617,0.37631978183841414,,,11.03
