epoch,train_mse,train_pearson,train_loss,val_mse,val_pearson,minutes
0,0.0716468312137829,0.5506978489248433,0.3737710930495008,,,0.56
1,0.04793105491774607,0.5860261616159017,0.34076528760690483,,,1.11
2,0.040672016082878036,0.5971927813465646,0.330380184268868,,,1.67
3,0.03709140727088787,0.6060253349216317,0.32259801909438274,,,2.22
4,0.0357750869100766,0.6112186333851153,0.31818011635690474,,,2.77
5,0.03539055253647408,0.6153452791563537,0.31480189277307924,,,3.33
6,0.03453790214707628,0.6185048373052008,0.31210371605957443,,,3.87
7,0.03447210077101884,0.6211937372216398,0.309939436076977,,,4.43
8,0.03391715162321697,0.6238181826963558,0.3077288897252781,,,4.97
9,0.03361891617385201,0.6260506660006794,0.30588325621925905,,,5.52
10,0.0334843217639988,0.62784244120121,0.30442291700819146,,,6.07
11,0.033125683005979005,0.6290029760435465,0.30342276111264704,,,6.62
12,0.033184244536892865,0.6305042302042937,0.3022334700589572,,,7.17
13,0.032967670771379264,0.631621884039567,0.30129603233317076,,,7.73
14,0.03312383352721433,0.63309530097426,0.30014853111366857,,,8.28
15,0.03260759820499481,0.6343696080327399,0.29902583844129,,,8.83
16,0.03248351914046644,0.6351602651442718,0.2983684970605931,,,9.38
17,0.032088469448823126,0.6366507917916249,0.2970970659718328,,,9.92
18,0.03217070387243886,0.6373014470076113,0.2965929882350868,,,10.47
19,0.03192284272085333,0.63816451161748,0.29585296441737774,,,11.02
