epoch,train_mse,train_pearson,train_loss,val_mse,val_pearson,minutes
0,0.06724329975730514,0.5012324470373064,0.23985300605174334,,,0.58
1,0.03789982931655036,0.5580563720170723,0.19951735264578915,,,1.17
2,0.03470711533475389,0.5686918344490384,0.19334753920052528,,,1.75
3,0.03283063138016203,0.5755171402865328,0.1894915264407698,,,2.34
4,0.031509242009959554,0.5812793785912218,0.18639379735200437,,,2.91
5,0.03043810525912324,0.5868272952015451,0.18353194858232177,,,3.48
6,0.029782934503643648,0.5905627641203,0.1816446586081593,,,4.05
7,0.029169133717131486,0.5942249362600074,0.17981150918031397,,,4.61
8,0.028566979415263535,0.5978946485892622,0.17798233152602144,,,5.17
9,0.028191984225729105,0.600740847398112,0.17661885502469243,,,5.73
10,0.02800620393257443,0.6023669627474342,0.17585694062094737,,,6.3
11,0.027749124308457582,0.603761451039504,0.17514489747333015,,,6.87
12,0.027619848300258588,0.6049703498516324,0.1745837724995264,,,7.43
13,0.027407142819301643,0.60623315716212,0.1739510262933135,,,8.0
14,0.027321987038141888,0.6070660625123853,0.17356677058551528,,,8.56
15,0.02716155043323852,0.6079847925046568,0.17310301676249212,,,9.13
16,0.027173613522252272,0.6089228551279368,0.1727350294674699,,,9.7
17,0.02700467072577946,0.6097295969841936,0.17231096715959962,,,10.26
18,0.02699809660300267,0.6107183279731048,0.17191153010219062,,,10.83
19,0.026832816236015942,0.6109913350076825,0.17170315915429546,,,11.4
